Date,Sto.Value,Che.Value
2021-03-30 20:17:34.500,1728.0,1603.0
2021-03-30 20:17:34.800,1734.0,1604.0
2021-03-30 20:17:35.100,1738.0,1604.0
2021-03-30 20:17:35.400,1744.0,1604.0
2021-03-30 20:17:35.700,1739.0,1603.0
2021-03-30 20:17:36.000,1715.0,1603.0
2021-03-30 20:17:36.300,1685.0,1602.0
2021-03-30 20:17:36.600,1698.0,1603.0
2021-03-30 20:17:36.900,1713.0,1603.0
2021-03-30 20:17:37.200,1725.0,1605.0
2021-03-30 20:17:37.500,1733.0,1605.0
2021-03-30 20:17:37.800,1737.0,1605.0
2021-03-30 20:17:38.100,1744.0,1606.0
2021-03-30 20:17:38.400,1744.0,1605.0
2021-03-30 20:17:38.700,1724.0,1603.0
2021-03-30 20:17:39.000,1719.0,1601.0
2021-03-30 20:17:39.300,1730.0,1602.0
2021-03-30 20:17:39.600,1739.0,1604.0
2021-03-30 20:17:39.900,1744.0,1606.0
2021-03-30 20:17:40.200,1748.0,1607.0
2021-03-30 20:17:40.500,1751.0,1606.0
2021-03-30 20:17:40.800,1738.0,1604.0
2021-03-30 20:17:41.100,1719.0,1603.0
2021-03-30 20:17:41.400,1727.0,1604.0
2021-03-30 20:17:41.700,1739.0,1603.0
2021-03-30 20:17:42.000,1744.0,1606.0
2021-03-30 20:17:42.300,1749.0,1606.0
2021-03-30 20:17:42.600,1752.0,1606.0
2021-03-30 20:17:42.900,1744.0,1604.0
2021-03-30 20:17:43.200,1704.0,1605.0
2021-03-30 20:17:43.500,1661.0,1603.0
2021-03-30 20:17:43.800,1667.0,1604.0
2021-03-30 20:17:44.100,1683.0,1605.0
2021-03-30 20:17:44.400,1699.0,1606.0
2021-03-30 20:17:44.700,1713.0,1606.0
2021-03-30 20:17:45.000,1723.0,1606.0
2021-03-30 20:17:45.300,1730.0,1607.0
2021-03-30 20:17:45.600,1733.0,1607.0
2021-03-30 20:17:45.900,1720.0,1607.0
2021-03-30 20:17:46.200,1699.0,1605.0
2021-03-30 20:17:46.500,1681.0,1605.0
2021-03-30 20:17:46.800,1692.0,1605.0
2021-03-30 20:17:47.100,1705.0,1606.0
2021-03-30 20:17:47.400,1714.0,1607.0
2021-03-30 20:17:47.700,1722.0,1608.0
2021-03-30 20:17:48.000,1729.0,1609.0
2021-03-30 20:17:48.300,1735.0,1609.0
2021-03-30 20:17:48.600,1732.0,1608.0
2021-03-30 20:17:48.900,1714.0,1608.0
2021-03-30 20:17:49.200,1701.0,1609.0
2021-03-30 20:17:49.500,1675.0,1608.0
2021-03-30 20:17:49.800,1697.0,1607.0
2021-03-30 20:17:50.100,1712.0,1609.0
2021-03-30 20:17:50.400,1719.0,1607.0
2021-03-30 20:17:50.700,1723.0,1605.0
2021-03-30 20:17:51.000,1730.0,1605.0
2021-03-30 20:17:51.300,1704.0,1607.0
2021-03-30 20:17:51.600,1639.0,1607.0
2021-03-30 20:17:51.900,1619.0,1604.0
2021-03-30 20:17:52.200,1639.0,1606.0
2021-03-30 20:17:52.500,1662.0,1608.0
2021-03-30 20:17:52.800,1676.0,1609.0
2021-03-30 20:17:53.100,1697.0,1610.0
2021-03-30 20:17:53.400,1698.0,1609.0
2021-03-30 20:17:53.700,1707.0,1600.0
2021-03-30 20:17:54.000,1680.0,1604.0
2021-03-30 20:17:54.300,1686.0,1599.0
2021-03-30 20:17:54.600,1659.0,1558.0
2021-03-30 20:17:54.900,1660.0,1526.0
2021-03-30 20:17:55.200,1681.0,1562.0
2021-03-30 20:17:55.500,1691.0,1557.0
2021-03-30 20:17:55.800,1699.0,1557.0
2021-03-30 20:17:56.100,1700.0,1527.0
2021-03-30 20:17:56.400,1700.0,1509.0
2021-03-30 20:17:56.700,1706.0,1499.0
2021-03-30 20:17:57.000,1657.0,1511.0
2021-03-30 20:17:57.300,1605.0,1520.0
2021-03-30 20:17:57.600,1584.0,1526.0
2021-03-30 20:17:57.900,1608.0,1527.0
2021-03-30 20:17:58.200,1626.0,1525.0
2021-03-30 20:17:58.500,1645.0,1531.0
2021-03-30 20:17:58.800,1662.0,1541.0
2021-03-30 20:17:59.100,1672.0,1544.0
2021-03-30 20:17:59.400,1680.0,1547.0
2021-03-30 20:17:59.700,1667.0,1544.0
2021-03-30 20:18:00.000,1639.0,1543.0
2021-03-30 20:18:00.300,1622.0,1541.0
2021-03-30 20:18:00.600,1630.0,1543.0
2021-03-30 20:18:00.900,1650.0,1547.0
2021-03-30 20:18:01.200,1657.0,1548.0
2021-03-30 20:18:01.500,1674.0,1554.0
2021-03-30 20:18:01.800,1672.0,1561.0
2021-03-30 20:18:02.100,1696.0,1570.0
2021-03-30 20:18:02.400,1688.0,1574.0
2021-03-30 20:18:02.700,1699.0,1578.0
2021-03-30 20:18:03.000,1657.0,1581.0
2021-03-30 20:18:03.300,1691.0,1577.0
2021-03-30 20:18:03.600,1699.0,1569.0
2021-03-30 20:18:03.900,1703.0,1584.0
2021-03-30 20:18:04.200,1704.0,1553.0
2021-03-30 20:18:04.500,1707.0,1575.0
2021-03-30 20:18:04.800,1720.0,1583.0
2021-03-30 20:18:05.100,1686.0,1563.0
2021-03-30 20:18:05.400,1680.0,1572.0
2021-03-30 20:18:05.700,1688.0,1582.0
2021-03-30 20:18:06.000,1706.0,1571.0
2021-03-30 20:18:06.300,1697.0,1503.0
2021-03-30 20:18:06.600,1708.0,1555.0
2021-03-30 20:18:06.900,1723.0,1569.0
2021-03-30 20:18:07.200,1732.0,1565.0
2021-03-30 20:18:07.500,1712.0,1565.0
2021-03-30 20:18:07.800,1671.0,1579.0
2021-03-30 20:18:08.100,1680.0,1578.0
2021-03-30 20:18:08.400,1635.0,1539.0
2021-03-30 20:18:08.700,1685.0,1567.0
2021-03-30 20:18:09.000,1712.0,1579.0
2021-03-30 20:18:09.300,1725.0,1582.0
2021-03-30 20:18:09.600,1718.0,1567.0
2021-03-30 20:18:09.900,1729.0,1585.0
2021-03-30 20:18:10.200,1722.0,1590.0
2021-03-30 20:18:10.500,1584.0,1564.0
2021-03-30 20:18:10.800,1632.0,1566.0
2021-03-30 20:18:11.100,1651.0,1580.0
2021-03-30 20:18:11.400,1672.0,1585.0
2021-03-30 20:18:11.700,1691.0,1589.0
2021-03-30 20:18:12.000,1705.0,1592.0
2021-03-30 20:18:12.300,1722.0,1594.0
2021-03-30 20:18:12.600,1721.0,1596.0
2021-03-30 20:18:12.900,1706.0,1597.0
2021-03-30 20:18:13.200,1680.0,1599.0
2021-03-30 20:18:13.500,1707.0,1595.0
2021-03-30 20:18:13.800,1680.0,1589.0
2021-03-30 20:18:14.100,1712.0,1600.0
2021-03-30 20:18:14.400,1724.0,1602.0
2021-03-30 20:18:14.700,1738.0,1583.0
2021-03-30 20:18:15.000,1732.0,1589.0
2021-03-30 20:18:15.300,1727.0,1597.0
2021-03-30 20:18:15.600,1746.0,1602.0
2021-03-30 20:18:15.900,1634.0,1537.0
2021-03-30 20:18:16.200,1684.0,1570.0
2021-03-30 20:18:16.500,1691.0,1581.0
2021-03-30 20:18:16.800,1706.0,1565.0
2021-03-30 20:18:17.100,1703.0,1532.0
2021-03-30 20:18:17.400,1719.0,1569.0
2021-03-30 20:18:17.700,1737.0,1578.0
2021-03-30 20:18:18.000,1685.0,1560.0
2021-03-30 20:18:18.300,1713.0,1562.0
2021-03-30 20:18:18.600,1619.0,1576.0
2021-03-30 20:18:18.900,1667.0,1578.0
2021-03-30 20:18:19.200,1655.0,1544.0
2021-03-30 20:18:19.500,1693.0,1577.0
2021-03-30 20:18:19.800,1714.0,1587.0
2021-03-30 20:18:20.100,1701.0,1573.0
2021-03-30 20:18:20.400,1723.0,1570.0
2021-03-30 20:18:20.700,1731.0,1585.0
2021-03-30 20:18:21.000,1731.0,1585.0
2021-03-30 20:18:21.300,1619.0,1579.0
2021-03-30 20:18:21.600,1672.0,1595.0
2021-03-30 20:18:21.900,1680.0,1598.0
2021-03-30 20:18:22.200,1685.0,1598.0
2021-03-30 20:18:22.500,1678.0,1595.0
2021-03-30 20:18:22.800,1690.0,1600.0
2021-03-30 20:18:23.100,1703.0,1602.0
2021-03-30 20:18:23.400,1700.0,1587.0
2021-03-30 20:18:23.700,1605.0,1498.0
2021-03-30 20:18:24.000,1639.0,1555.0
2021-03-30 20:18:24.300,1639.0,1570.0
2021-03-30 20:18:24.600,1665.0,1568.0
2021-03-30 20:18:24.900,1680.0,1568.0
2021-03-30 20:18:25.200,1691.0,1581.0
2021-03-30 20:18:25.500,1720.0,1589.0
2021-03-30 20:18:25.800,1680.0,1587.0
2021-03-30 20:18:26.100,1724.0,1590.0
2021-03-30 20:18:26.400,1625.0,1592.0
2021-03-30 20:18:26.700,1648.0,1547.0
2021-03-30 20:18:27.000,1616.0,1517.0
2021-03-30 20:18:27.300,1657.0,1563.0
2021-03-30 20:18:27.600,1670.0,1578.0
2021-03-30 20:18:27.900,1686.0,1571.0
2021-03-30 20:18:28.200,1708.0,1581.0
2021-03-30 20:18:28.500,1714.0,1588.0
2021-03-30 20:18:28.800,1736.0,1586.0
2021-03-30 20:18:29.100,1648.0,1553.0
2021-03-30 20:18:29.400,1629.0,1582.0
2021-03-30 20:18:29.700,1616.0,1592.0
2021-03-30 20:18:30.000,1593.0,1571.0
2021-03-30 20:18:30.300,1627.0,1575.0
2021-03-30 20:18:30.600,1677.0,1587.0
2021-03-30 20:18:30.900,1695.0,1591.0
2021-03-30 20:18:31.200,1683.0,1569.0
2021-03-30 20:18:31.500,1713.0,1592.0
2021-03-30 20:18:31.800,1687.0,1599.0
2021-03-30 20:18:32.100,1573.0,1578.0
2021-03-30 20:18:32.400,1620.0,1564.0
2021-03-30 20:18:32.700,1639.0,1582.0
2021-03-30 20:18:33.000,1654.0,1585.0
2021-03-30 20:18:33.300,1672.0,1514.0
2021-03-30 20:18:33.600,1693.0,1566.0
2021-03-30 20:18:33.900,1712.0,1581.0
2021-03-30 20:18:34.200,1684.0,1574.0
2021-03-30 20:18:34.500,1713.0,1579.0
2021-03-30 20:18:34.800,1681.0,1589.0
2021-03-30 20:18:35.100,1712.0,1587.0
2021-03-30 20:18:35.400,1616.0,1540.0
2021-03-30 20:18:35.700,1651.0,1576.0
2021-03-30 20:18:36.000,1664.0,1587.0
2021-03-30 20:18:36.300,1663.0,1570.0
2021-03-30 20:18:36.600,1687.0,1580.0
2021-03-30 20:18:36.900,1704.0,1590.0
2021-03-30 20:18:37.200,1727.0,1590.0
2021-03-30 20:18:37.500,1693.0,1577.0
2021-03-30 20:18:37.800,1716.0,1595.0
2021-03-30 20:18:38.100,1665.0,1600.0
2021-03-30 20:18:38.400,1648.0,1569.0
2021-03-30 20:18:38.700,1656.0,1567.0
2021-03-30 20:18:39.000,1685.0,1585.0
2021-03-30 20:18:39.300,1698.0,1590.0
